我的账户	101000
手机银行怎么激活	首次使用手机银行时，会提示“卡片激活”，银行系统会与您的手机银行卡进行多次信息交互，请耐心等待。
更换办理手机银行的手机号码	我行一张手机银行卡绑定一个手机号码，所以手机号码更换后，您需要携带相关证明材料去银行柜台办理手机银行签约号码变更：1.个人客户可以持本人有效身份证件到我行任意一个营业网点办理；2.企业客户可以持经办人有效身份证件的原件、法定代表人有效身份证件的复印件（加盖企业公章）、企业法人授权委托书（法定代表人本人办理时不需要），至手机银行签约网点办理。
手机银行丢失	如果您的手机银行丢失，您可以办理挂失。个人客户：1.请您致电我行客户服务热线400-677-0537进行手机银行卡口头挂失后，请客户携带本人身份证件到银行柜面重新申请手机银行卡；2.请客户携带本人身份证件到银行柜面办理挂失后，重新申请手机银行卡。企业客户：需要携带经办人有效身份证件的原件、法定代表人有效身份证件的复印件（加盖企业公章）、企业法人授权委托书（法定代表人本人办理时不需要）至手机银行签约网点办理挂失补卡业务，重新申请手机银行卡。
手机银行能否进行转账汇款	我行手机银行支持转账汇款业务。请问您问的是行内转账还是跨行转账呢?请选择输入转账方式名称查询即可【请选择输入行内转账、跨行转账、手机号转账】。
手机银行转账	请问您问的是行内转账还是跨行转账呢?请选择输入转账方式名称查询即可【请选择输入行内转账、跨行转账、手机号转账】。
手机银行行内转账	请进入手机银行，点击【转账汇款】→【行内转账】，输入相关信息进行转账。
手机银行手机号转账	请进入手机银行客户端，点击【转账汇款】→【行内转账】，选择付款账号，输入收款方手机号及姓名或者通过点击查询按钮选择收款人，根据提示进行操作。
手机银行跨行转账	请进入手机银行，点击【汇款转账】→【实时汇款】、【快速汇款】或【普通汇款】，输入相关信息进行转账。
手机银行什么时候可以转账	行内转账、实时汇款、普通汇款均提供为您提供7×24小时汇款服务；快速汇款的服务时间与中国人民银行大额支付系统服务时间一致，一般为工作日的9:00-16:00。
手机银行转账限额是多少	请问您问的是哪一种转账方式呢?请您选择输入转账方式的名称查询即可【请选择输入行内转账限额、实时汇款限额、快速汇款限额、普通汇款限额、收付款限额、缴费限额、定活互转限额、贷款还款限额、预约取款限额】。
手机银行行内转账限额	行内转账的限额为：1.个人手机银行单笔限额200万元，每日限额200万元  2.企业手机银行单笔限额200万元，每日限额500万元。
手机银行实时汇款限额	实时汇款的限额为：1.个人手机银行单笔限额5万元，每日限额200万元  2.企业手机银行单笔限额5万元，每日限额500万元。
手机银行快速汇款限额	快速汇款的限额为：1.个人手机银行单笔限额200万元，每日限额200万元  2.企业手机银行单笔限额200万元，每日限额500万元。
手机银行普通汇款限额	普通汇款的限额为：1.个人手机银行单笔限额5万元，每日限额200万元  2.企业手机银行单笔限额5万元，每日限额500万元。
手机银行收付款限额	收付款的限额为： 1.个人手机银行单笔限额200万元，每日限额200万元  2.企业手机银行单笔限额200万元，每日限额500万元。
手机银行缴费限额	缴费的限额为单笔限额2000元，每日限额5000元。
手机银行定活互转限额	定活互转的限额为单笔限额200万元，每日限额500万元。
手机银行贷款还款限额	贷款还款的限额为单笔限额200万元，每日限额500万元。
手机银行预约取款限额	预约取款的限额为单笔限额2500元，每日限额5000元。
手机银行转账后什么时候能到	1.转账成功后，行内转账、实时汇款、快速汇款一般实时到账处理；2.转账成功后，普通汇款业务非实时到账，具体到账时间取决于收款行系统，一般情况下，入账时间不超过2个工作日（节假日顺延）。
手机银行如何进行支付宝付款	目前我行手机银行中支持支付宝付款。请进入手机银行，点击【账单管理】-【自助缴费】-【支付宝付款】，输入相关信息进行支付。
手机银行如何缴费	客户端手机银行客户请选择儒意生活——充值缴费功能进行缴费。
手机银行如何给移动缴费	如果您需要向移动号码进行充值，需要选择充值缴费——话费充值功能。
手机银行如何给电信缴费	如果您需要向电信号码进行充值，需要选择充值缴费——话费充值功能。
手机银行如何给联通缴费	客户端手机银行客户请选择儒意生活——充值缴费功能进行缴费。
手机银行缴纳联通宽带费成功后，宽带仍然欠费停机	这是由于您的宽带是在欠费停机后重新缴纳的费用，所以您还需要重新申请开通宽带，具体事宜请联系联通公司。
手机银行如何进行账单发起	请进入手机银行，点击【账单管理】-【账单发起】，输入相关信息进行账单发起，根据提示进行操作。
手机银行如何进行账单支付	请进入手机银行，点击【账单管理】-【账单支付】，输入相关信息进行支付，根据提示进行操作。
手机银行贷款服务	目前我行手机银行支持贷款还款和贷款查询业务。若需要查询使用方式，请直接输入【贷款还款】、【贷款信息查询】查询即可。
手机银行贷款还款	请进入手机银行，点击【贷款服务】-【贷款还款】，选择相应途径还款，可根据提示进行操作。
手机银行贷款信息查询	您可以选择【贷款服务】→【贷款信息查询】自助选择需要查询的贷款信息。
用手机银行怎么在取款机上取款	您可以通过【预约交易】→【预约】进行ATM预约取款，请根据提示进行操作。成功后，请到我行任意一台ATM机上完成取现。
手机银行如何查询预约取款信息	【预约交易】→【预约查询】可为您提供最近五笔预约信息的详情查询。
手机银行如何查询账户信息	您可以通过【查询服务】→【账户信息查询】查询关联账户的账户信息，包括账号、账户余额、账户状态、上次交易日期等。
手机银行如何查询账户余额	请进入手机银行，点击【查询服务】→【账户信息查询】，可查询您下挂账户的余额。
手机银行如何查询账户明细	您可以通过【查询服务】→【账户明细查询】查询指定日期区间的关联账户的历史账务明细。
手机银行如何查询他行的行名行号	您可以通过【查询服务】→【行名行号查询】查询跨行转账时所需的收款行的行名行号，包括实时汇款行名行号和普通/快速汇款行名行号。
手机银行如何查询利率	您可以通过【查询服务】→【利率查询】查询当前我行存款的执行利率和贷款的基准利率。
手机银行如何查询贷款利率	您可以通过【查询服务】→【利率查询】查询当前我行贷款的基准利率。
手机银行如何查询存款利率	您可以通过【查询服务】→【利率查询】查询当前我行存款的执行利率。
手机银行如何查询外汇汇率	您可以通过【查询服务】→【汇率查询】查询当前我行外币的外汇牌价信息。
手机银行怎么联系你们	请进入手机银行，点击【客户服务】→【联系银行客服中心】联系我们。
手机银行如何进行账户挂失	请进入手机银行，点击【客户服务】→【账户口头挂失】，选择您要挂失的账号，根据提示进行操作。
手机银行如何进行卡内定活互转	您可以通过【客户服务】→【个人账户管理】对您的关联账户进行定期转活期、活期转定期等业务的办理。
用手机银行怎样将活期转成定期	您可以通过【客户服务】→【个人账户管理】对您的关联账户进行定期转活期、活期转定期等业务的办理。
用手机银行怎样将定期转成活期	您可以通过【客户服务】→【个人账户管理】对您的关联账户进行定期转活期、活期转定期等业务的办理。
手机银行如何对关联账户的特色业务进行签约或解约	您可以通过【客户服务】→【特色功能签约】对您关联账户的特色业务进行签约或解约。
手机银行如何对关联账户的短信通知业务进行签约或解约	您可以通过【客户服务】→【短信通知签约】对您关联账户的短信通知业务进行签约或解约。
手机银行如何进行关联账户验证	为保证批量签约客户的资金安全，首次登录手机银行的批量签约客户，需通过本交易对其关联账户进行合法性验证，确保客户为关联账户的合法持有人。步骤：您可以通过【系统管理】→【关联账户验证】对您关联账户进行验证。
手机银行中如何添加新的账户	请您本人携带有效身份证件、儒商卡及手机银行到我行网点办理手机银行添加关联账户，我行手机银行最多添加两个关联账户。
手机银行添加账户的条件	手机银行添加账户：1.在手机银行添加的账户必须是您本人名下账户；2.已成功添加到手机银行的账户不能重复追加；3.请您携带有效身份证件、儒商卡及手机银行到我行网点办理。
手机银行最多可以有几个账户	客户端手机银行对添加账号个数，没有限制。
怎样删除手机银行中的账户	手机银行无法自助删除签约账户，需要您携带有效身份证件、签约账户以及手机银行到我行网点办理。
手机银行如何进行常用账户管理	您可以自助添加、修改、删除转账汇款时使用的收款方账户信息，方便下次交易时使用。步骤：您可以通过【系统管理】→【常用账户管理】对您常用的转入账户进行维护。
手机银行如何管理收款人信息	您可以通过【系统管理】→【常用账户管理】对您常用的转入账户进行维护。
手机银行如何进行缴费号码管理	您可以自助添加、修改、删除自助缴费时使用的待缴费号码，方便下次交易时使用。步骤：您可以通过【系统管理】→【缴费号码管理】对您常用的缴费号码进行维护。
手机银行的密码如何修改	请问您问的是手机银行登录密码还是手机银行支付密码呢?请直接输入【修改登录密码】或【修改支付密码】查询。
手机银行登录密码如何修改	您可以通过【系统管理】→【登录密码修改】对您手机银行的登录密码进行自助修改。
手机银行支付密码如何修改	您可以通过【系统管理】→【支付密码修改】对您手机银行的支付密码进行自助修改。
手机银行如何进行关联账户别名设置	您可以通过【系统管理】→【关联账户别名设置】对您手机银行的下挂账户自助修改别名。
手机银行如何进行交易限额的管理	您可以通过【系统管理】→【交易限额管理】自助开通或关闭指定的功能（例如行内转账、快速汇款等），如果是选择开通，则可对单笔交易限额及单日交易限额进行设定。
手机银行如何恢复出厂设置	您可以通过【系统管理】→【恢复出厂设置】将手机银行卡储存信息清空，清空后可以重新激活使用。
手机银行如何关闭提示音	您可以通过【系统管理】→【关闭提示音】关闭手机银行交易提示音。关闭后，您可以再次使用该功能打开提示音。
手机银行如何打开提示音	您可以通过【系统管理】→【关闭提示音】关闭手机银行交易提示音。关闭后，您可以再次使用该功能打开提示音。
手机银行如何进行系统更新	您可以通过【系统管理】→【系统更新】自助进行系统信息更新。
如何查询手机银行卡的信息	您可以通过【系统管理】→【关于我们】自助查询手机银行卡的基本信息，包括序列号、版本号等。
手机银行如何查询最近五笔操作记录	您可以通过【最近信息】查询手机银行最近五笔操作记录。
手机银行企业用户授权卡如何授权	当财务用户卡发起一笔业务后，系统会以短信方式提示授权卡用户有一笔待授权交易需要处理，授权卡用户登录手机银行后，点击【企业服务】→【待授权交易处理】，选择需要授权的业务进入指令处理界面，您可以选择“授权”、“拒绝”或者“删除”，处理完毕后系统会以短信方式告知财务卡用户本笔交易的授权结果。
手机银行企业用户如何查询授权记录	授权卡可以通过【企业服务】→【授权记录查询】对已授权的交易记录进行查询。
手机银行交易时提示“1084手机银行卡检查计数器失败”	出现“1084手机银行卡检查计数器失败”的原因是因为您的操作过快，前一个指令未返回又发出新的指令引起的。1.请您先查看一下账户明细，看您的交易是否已经成功了，如果已经交易成功，请不要重复操作，以免造成重复交易；2.如果交易还未成功，请您耐心等待一下，在等待期间请不要提交新的交易，请您在收到“交易成功”或“交易失败”的返回信息后，再进行新的交易。
手机银行交易时提示“com. Android.phone进程关闭”	出现“com. Android.phone进程关闭”的原因是因为手机系统版本造成的。
手机银行交易时提示“本次操作不成功，未经过您的授权，请咨询10086……”	出现“本次操作不成功，未经过您的授权，请咨询10086……”的原因是因为您的手机号码的梦网（SP）关闭造成的。您只需要拨打10086选择人工服务，重新开通SP服务就可以解决该问题。
手机银行提示“验签失败”	出现“验签失败”的原因是因为交易信息解密是失败造成的。您只需要通过更换新的手机银行卡就可以解决该问题。
手机银行提示“您签约的手机号和手机银行卡号有误，请到柜面查证…”或“签约信息有误”	出现“您签约的手机号和手机银行卡号有误，请到柜面查证…”或“签约信息有误”的原因是因为交易信息解密时失败造成的。您只需要通过更换新的手机银行卡就可以解决该问题。
手机银行提示“MAC校验不通过”	出现“MAC校验不通过”的原因是因为交易信息解密时失败造成的。您只需要通过更换新的手机银行卡就可以解决该问题。
手机银行交易后提示“平台接口校验失败”	出现“平台接口校验失败”的原因是因为您在转账汇款过程中手工输入的行号不正确导致造成的。您只需要查找出正确的行名行号后进行汇款操作即可。
手机银行提示“交易发送成功，请等待银行回应”但是没有回应	出现“请等待银行回应”但是没有回应后，请按照以下步骤进行核查：1.确认手机银行是否处于登录状态，如处于登录状态，请退出才能接收响应信息；2.等待1至2分钟仍然无响应，请先查询确认无回应的交易是否已扣款，如确认已扣款则说明交易已成功，无需重发交易。
手机银行交易提示“发送失败，请联系银行”	出现此问题后，请按照以下步骤进行核查：1.确认您的手机话费是否欠费，如已经欠费请先充值话费。2.确认SIM卡和手机银行卡是否安装正确，如安装不正确或者紧密度不够，建议重新安装后再试。3.确认您的手机收发普通短信是否正常，如发送普通短信不正常，请确认能够正常收发短信。4.建议您电话联系运营商客服确认SP业务是否已经停用，如已停用则需要开启SP业务。
手机银行交易提示“大额服务时间非时序”	出现“大额服务时间非时序”的原因是因为非工作时间采用快速汇款交易造成的。手机银行快速汇款服务时间一般为工作日的9：00－16：30。您可以尝试使用其他的汇款方式：实时汇款或普通汇款。
手机银行交易执行时，手机突然出现异常	如果交易时手机出现异常，可以通过查询账户的余额和交易明细，判断交易是否已成功执行。如已成功执行，无须特殊处理；如未能成功执行，您可以等待手机状态恢复正常后决定是否重新交易。如有疑问或需帮助，请随时致电我行客户服务热线4006770537。
手机银行安装后提示“SIM卡被拒绝”或手机无信号	出现“SIM卡被拒绝”或手机无信号的原因是因为未能正确成功安装造成的。若出现此问题，建议您携带您的手机银行卡和有效身份证件及儒商卡到您的手机银行办理行处理。
我的手机银行可以绑定他人的账户么	为保证您的账户资金安全，您的手机银行不允许关联他人的账户，只能关联您身份证号码下的儒商卡账户，且最多只能关联两个账户。如需向在我行开立的他人账户转账汇款，请您使用行内转账功能。
手机银行交易提示“用户档案不存在”	出现“用户档案不存在”的原因是因为目前我行只支持缴存联通固话费或者您在缴纳联通固话费时未输入区号造成的。若出现此问题，建议您在缴纳联通固话费时请连同区号一起输入，例如 “05372887***”。
怎么打印手机银行的交易记录	1.个人客户在我行手机银行上所做的业务回单可在我行任意网点打印领取；2.企业客户所做的业务回单请至账户开户行打印领取。
什么是手机银行预约交易	为您提供ATM预约取款服务，预约成功后我行发送随机授权码至您的手机银行，您只需凭借预约手机号、授权码和账户取款密码等信息即可在无银行卡的情况下，到我行任意一台ATM机上完成取现。
手机银行登录	我行已推出客户端手机银行，您可以去柜面或是使用专业版网银开通。
手机银行注册	下载我行客户端手机银行后，点击注册输入相关信息，可注册我行大众版手机银行。
个人存款证明的用途	个人存款证明是指济宁银行为储户因涉外事务（出国留学、旅游、探亲、商务等）需要，为其存于本行的个人储蓄存款所提供的证明服务。
个人存款证明如何办理	我行目前仅办理个人定期存款证明业务，您需要本人携带有效身份证件和在我行以本人身份信息开立的个人定期存单/折/卡且账户状态为正常的（未冻结、挂失）,到我行任意网点柜台办理,该业务不可代办。
对公存款证明如何办理	开立对公余额证明需要您到您的开户行办理，需要您提供书面申请并加盖预留印鉴或公章，如不是法人办理还需提供法人和代理人的身份证件原件及复印件及授权书。
存款证明的有效期	个人存款证明的有效期最短一天，最长一年，您可以根据需要自行选择，在有效期内，作为开立个人存款证明的定期存款将被冻结无法正常使用。
开立存款证明的手续费	开立个人存款证明每份收费20元，每次最多可开立5份。对公余额证明每次只能开立1份，收费20元。
开立对公存款证明的份数	开立个人存款证明每份收费20元，单次最多可开立5份；如超过5份可申请追加开立，每次追加开立单次最多开立5份，收费标准为20元/份，且追加开立的存款证明信息与原信息必须一致；目前我行未对追加次数进行限制。
存款证明书是否可以提前解冻	网点受理提前解冻存款证明时，需您能够交回全部开具份数的存款证明原件的情况下，可为您办理解冻业务。若不能交回全部原件，建议您直接与开证网点联系确认。
开立对公账户的条件	在中国境内的机关、团体、部队、企业、事业单位、其他组织的个体工商户和自然人均可开立对公账户。
开立对公账户的收费标准	我行开立对公账户时，无任何费用。
节假日，是否可以办理对公账户存款	可以办理对公账户现金存款，存入当日即可到账。
节假日，是否可以从儒商卡向济宁银行开立的对公账户转账	可以在节假日从儒商卡向济宁银行的对公账户转账，账号户名等信息填写无误，当天即可到账。
对公账户如何办理	我行对公户分三种：基本户、一般户、临时户，请问您想知道哪一种？
对公预留印鉴更换	如您更换预留印鉴请您携带所有的新、旧印鉴和您的旧印鉴卡片客户留存联和更换申请（应详细列明更换原因），到您的开户行填写《更换印鉴卡片申请书》进行更换操作。
对公公章或者财务章丢失	如您丢失单位公章或财务专用章，需要您提供市级以上“登报声明”的报纸原件证明或公安系统出具的相关证明，携带您刻制的新印章，到您的开户行填写《更换印鉴卡片申请书》进行更换操作。
对公法人章或者负责人私章丢失怎么办	如法人章或者负责人私章丢失，请您由单位开具公函说明丢失原因并加盖公章，携带该说明和新刻制的私章到您的开户行即可进行更换。
开立基本存款账户需要什么资料	您好，存款人申请开立基本存款账户,应向银行出具下列证明文件：1.营业执照正本及复印件2份；2.组织机构代码证正本及复印件2份；3.国税、地税税务登记证正本及复印件2份（存款人如为从事生产、经营活动纳税人的，应出具税务部门颁发的税务登记证）；4.印鉴及公章；5.开户申请书。
开立一般存款账户需要什么资料	您好，一般存款账户是存款人因借款或其他结算需要，在基本存款账户开户银行以外的银行营业机构开立的银行结算账户。开立一般存款账户所需材料：1.存款人申请开立一般存款账户，应向银行出具其开立基本存款账户规定的证明文件、基本存款账户开户登记证和下列证明文件：2.营业执照正本及复印件一份；3.组织机构代码证正本及复印件一份；4.国税、地税税务登记证正本及复印件一份；5.法人身份证、公章、法人章或经法人授权的个人名章；6.如法人不能亲自来开户，需法人出具委托书一份，被委托人需提供身份证正本及复印件；7. 开户申请表。
验资户的开立条件	开立验资账户时，所有出资人中至少一人携带本人及其他出资人有效身份证件亲自到我行柜面办理，需要提供的资料包括：工商行政管理部门核发的《企业名称预先核准通知书》及所有出资人身份证原件；民办非企业开立注册验资账户时，柜员应审核民政局的名称预先核准通知书和出资人身份证原件并留存复印件。如出资人为单位的，应提供出资单位资料（营业执照、组织机构代码证、税务登记证、法人代表身份证）。
怎么代办验资户的后续业务	办理验资户后续业务（存入验资资金、出具询证函、退回验资款、销户等）时，如出资人无法亲自到场办理，需要其在办理开户手续时当面出具《开立验资账户授权书》，授权代理人办理后续业务。授权书内容至少包括授权人的姓名、身份证号码以及全权委托验资增资事宜，如出现一切经济纠纷自行承担等内容，并且需要有验资资金占比51%以上的出资人签字。
验资户的资金收付	验资账户在验资期间只收不付，验资账户时间以预先核准通知书上为准，待验资完成并提供有效的证明文件后方可办理正常账务。验资账户需变更时，验资资金必须转入其同名账户。
验资户转基本户	验资户转基本户需要提供的资料包括：1.主证明文件：营业执照、社团登记证等证件正本；2.全国组织机构代码证；3.税务登记证（从事生产经营活动的纳税人）；4.其他证明文件：企业法人或负责人的身份证、代办人身份证等；5.携带公章、财务章、法人章等到开户网点柜台预留正式印鉴。
验资户销户	需销户的验资户在转为一般账户三个工作日后可办理销户，销户资金必须划转到同名账户。
验资户资金返回	验资账户内资金必须全部按照缴款时的方式及金额原路返回，并出具由所有出资人签字的书面申请。
验资户转一般户	验资单位需在验资行开立一般账户，需提供营业执照、组织机构代码证等企业相关证明文件，及基本存款账户开户许可证；开户行报人民银行备案后，验资户可转为一般账户。
外行支票能否在我行受理	您拿外行支票是可以在我行受理的。
外行支票在我行受理，到账时间	如果您上午10点前存入的支票（如无其他特殊原因），当天下午16点后即可到账；10点以后存入的支票，次日11点后即可到账。梁山、微山、泗水不参加济宁同城业务。
节假日，支行是否受理支票业务	节假日，支票业务可以受理，但是需周一为客户处理账务。
购买支票需要什么资料	购买支票请您携带预留印鉴到开户行办理。
购买支票的收费标准	整本支票需支付手续费：15元/本，工本费：5元/本；零星支票需支付手续费：0.6元/份，工本费：0.2元/份。
柜台同行转账手续费	柜台同行转账，免收转账手续费。
柜台现金汇款手续费	您携带现金在我行办理向他行账户的汇款业务，手续费按照转账金额的1%收取，最高50元封底。
柜台跨行转账手续费	柜面转账手续费：0.2万元以下（含）2元 /笔  0.2万-0.5万（含）5元/笔 0.5万-1万（含)10元 /笔  1万-5万（含）15元/笔  5万以上，收取您万分之0.03%的手续费，最高50元封顶。
柜台电汇业务是否可以代办	您可以携带双方身份证件，去我行柜面代为办理电汇业务。
柜台电汇业务代办需要什么资料	代办电汇业务时需携带被代理人的存折（单）卡和客户本人的有效身份证件，代理人还需携带自己的有效身份证件。
如何查询柜台的分布情况	LB0101
节假日柜台是否受理电汇业务	个人客户在节假日可办理5万元(含)以下的电汇业务，对公业务建议您咨询开户行。
什么是银行承兑汇票	银行承兑汇票是由在承兑银行开立存款账户的存款人出票，向开户银行申请并经银行审查同意承兑的，保证在指定日期无条件支付，确定的金额给收款人或持票人的票据。
如何办理银行承兑汇票	办理银行承兑汇票需要您向您的对公户开户行申请。
办理银行承兑汇票怎么收费	您办理银行承兑汇票的收费标准“票面金额*0.04%+敞口金额*0.05%*期限。
怎么查询承兑汇票的真假	如果需要查询承兑汇票真假，您可以到您对公户开户行委托他们查询。
济宁银行的承兑汇票金额部分手写吗	我行签发的银行承兑汇票金额部分为手写，其他部分为机器打印。
银行承兑汇票贴现介绍	银行承兑汇票贴现是客户将所持有未到期的银行承兑汇票转让于我行，我行按票面金额扣除贴现利息后，将剩余资金付给客户的一种融资行为。我行在银行承兑汇票到期日直接向承兑银行提示付款收回票面金额。如果您需要办理银行承兑汇票贴现业务，为了您的业务能够尽快办理，建议直接与您的对公户开户行联系。
银行承兑汇票贴现特点	银行承兑汇票贴现特点：1.客户所持银行承兑汇票在到期日前可随时向我行申请贴现，无需提供其他任何形式担保，融资效率高； 2.贴现利率一般情况下较贷款利率低，客户可降低融资成本；3.客户在我行办理银行承兑汇票贴现，一般不占用客户在我行的信用额度；4.银行承兑汇票在我行一经贴现，我行将在到期日直接提示承兑银行付款。
如何办理承兑汇票的托收	办理银行承兑汇票托收业务需在我行开立结算账户，办理托收业务时需要提供银行承兑汇票和填写我行托收凭证，需携带预留印鉴章。
办理承兑汇票的托收是否收费	办理银行承兑汇票托收费用为23元。
银行承兑汇票骑缝章盖错	银行承兑汇票骑缝章加盖错误，需要由加盖错误的单位出具证明信。
银行承兑汇票过期是否使用	承兑汇票的有限期为6个月，过期将无法使用。
个人收到银行承兑汇票怎么使用	个人目前无法在我行办理承兑汇票业务。
承兑汇票的提示付款期限	自汇票到期日起10 天内（此处10天为自然日）。
超过汇票到期日了如何处理	如果超出汇票到期日10天，需要出具延期证明，延期证明应当写明延期的原因，以及“引起的经济纠纷自行承担”等内容。
负责承兑汇票的电话是多少	如果您想咨询我行签发的承兑汇票相关问题，您可以拨打票据中心电话0537-2216988或我行客服热线400-677-0537咨询。
什么是ATM	我行自助设备包括以下几种：1.自动取款机（ATM）主要有取款、转账、查询、改密等功能； 2.存取款一体机在ATM全部功能的基础上，还提供存款功能。
自助设备可以存钱吗	目前我行的存取款一体机可以实现活期存款和取款的功能。我行的自助取款机（简称ATM）可以实现活期取款的功能。
自助设备有哪些	目前我行有自动取款机（简称ATM）、存取款一体机等多种自助设备 。
为什么你们行的自助设备存不进去钱	自助设备无法存款可能是由于我行自助设备的存款箱已达到上限，短时间内无法再满足客户的存款需求；您可以选择附近我行其他的自助设备继续存款，感谢您的支持和理解。
自助设备出现故障	自助设备出现故障，请拨打我行客服电话400-677-0537咨询。
自助设备什么情况会发生退卡	自助设备退卡的情况有两种： 1.您自己选择退卡；2.您在设备设定的时间内没有操作（一般为30秒，不同类型设备的时间存在差异），设备自动退卡。
自助设备每天最多可以取多少钱	根据中国人民银行的规定，我行发行的人民币借记卡--儒商卡在国内自助设备上每日累计最多可取20000元人民币。国内其他银行发行的银行卡在我行自助设备每日取现额度遵从发卡银行规定。
我能在自助设备上打印明细吗	我行自助设备可查询银行卡的交易明细，但不能打印。
ATM转账功能申请	ATM转账是指我行借记卡客户通过我行任一ATM自助设备向其他账户进行资金划转，须您本人持有效身份证明、借记卡前往网点柜台办理。办理转账时，收款方可为任意银行的借记卡、结算存折或信用卡。
能在ATM上进行的操作都能在微信上操作么	亲，这个不一定哦......
ATM取款限额调整	我行儒商卡每日取款限额为20000元，你可以根据你的需要进行调整，但最高不得高于20000元。
ATM余额跟网上显示余额不一样	在ATM取款显示的是您卡片的活期可用资金，通过网上渠道还可以查询到您卡片的其他子账户（比如定期等），显示的余额不一致是正常的情况。若您要取现，以您看到的“活期余额”资金为准。
ATM转账到账时间	行内转账：实时到账；跨行转账：您转账成功之后，我行及时转出，具体到账时间由对方行的处理速度决定。
济宁银行卡在济宁银行ATM发生错账	出现存款未入账或取款未出钞的情况，若自助设备旁有网点请您立即与银行工作人员联系；若自助设备旁无网点或在营业时间外,请您立即致电400-677-0537咨询。此外，请确认设备已恢复广告页面且无其他异常后离开，若有异常请及时拨打400-677-0537。
在境内ATM可受理的币种	境内ATM目前仅受理人民币业务，若您有支取外币的需要，建议您联系柜台咨询一下兑换事宜。
济宁银行卡在境外ATM发生吞卡	如果您在境外使用ATM，当ATM发生故障、持卡人操作失误或忘记取卡造成吞卡时，请您及时与ATM机所属机构联系，确认领卡事宜；如无法领卡，请您及时拨打济宁银行客服热线400-677-0537人工挂失您的卡片，等您回国后办理挂失补卡。
ATM行内转账手续费	通过我行ATM自助办理我行行内转账无手续费。
他行卡在济宁银行ATM取款的手续费	其他银行卡在我行ATM机取款手续费由发卡银行规定，请联系发卡银行咨询。
ATM跨行转账手续费	我行儒商卡通过我行ATM自助办理我行跨行转账无手续费。
济宁银行卡在境外ATM取款限额	济宁银行借记卡在境外ATM取款，日累计取款不超过等值1万元人民币。
济宁银行卡在他行ATM发生错账	若是济宁银行卡片在他行ATM机器发生错账，由于此问题需要您的一些个人资料做纪录，为了账户安全，请您及时拨打400-677-0537，进入人工服务为您登记，后续为您核实处理。
哪里有atm	LB0101
pos如何办理	申请开办POS收单业务的商户必须从事实体经营且有固定的经营场所，并提供受理支行所需要的相关资料。建议您直接与您的对公户开户行联系或拨打我行客服电话400-677-0537咨询。
pos商户结算手续费率标准是多少	主要行业及商户类别的交易手续费扣率如下：1.宾馆、餐饮、娱乐、珠宝金饰、工艺美术品类的商户手续费为1.25%；2.一般类型的商户（零售行业）手续费为0.78%；3.房地产行业，汽车行业的商户手续费为单笔1.25%-80元；4.批发类的商户手续费为单笔0.78%-26元；5.民生类商户手续费为0.38%；6.公益类商户手续费按服务成本收取。
pos机具坏了，怎么维修	您可以根据商户号或者终端号判定为您的POS机具办理维修服务的第三方：:一、银联商务  商户号后四位0001顺序 终端号62000001顺序  电话2279119、95534。二、山东运达  商户号后四位2001顺序 终端号63000001顺序  电话3925733。三、通联商务  商户号后四位3001顺序 终端号40000001顺序  电话2107508。四、杉德      商户号后四位5001顺序 终端号20000001顺序  电话22225045.运通      商户号后四位8001顺序 终端号48000001顺序  电话3979555。
pos机如何操作使用	您在办理POS机业务时，相应公司会提供相应的培训。
pos特约商户资金清算时间是几天	在我行办理的POS商户清算资金入账的正常时间为交易日的下一个工作日，遇节假日顺延。
我是POS商户昨天的账还没到	POS商户入账时间是次个工作日。如果长时间没有到账，请拨打我行客服电话400-677-0537咨询。
POS机扣款但没有出小票	如果您为我行pos机商户，请您告知客户未打印小票代表交易未成功，可以要求客户再次刷卡或者交付现金；如果您是客户，未打印小票代表交易未成功，即使收到扣款短信，后期款项会冲正到卡内，建议您留意短信提醒或账户余额。
个人能办理pos机吗	目前我行无法办理个人pos机业务。申请POS收单业务需在我行开立对公结算账户并满足我行其他条件。建议您直接与您的对公户开户行联系或拨打我行客服电话400-677-0537咨询。
pos申请需要多长时间	在我行申请POS业务时间一般为自审核之日起7个工作日，封顶商户适当延长。
能安装移动的pos机吗	航空、餐饮、交通罚款、上门收费、移动售货、物流配送等确有使用移动POS需求的行业商户，对因经营地点因通讯公司网络布设等原因无法布设固定POS机具的，需要提供相关证明材料及受理支行所需的其他资料。
pos县乡优惠	根据国家相关政策，我行可以办理县乡优惠相关POS业务。建议您直接与支行网点联系或拨打我行客服电话400-677-0537咨询。
儒商卡在pos机刷卡消费的手续费	只要您持儒商卡在带有银联标志的POS机刷卡消费，我行不收取您的手续费。
预授权	如果您账户余额和可用金额不一致时，说明您预授权没有完成，在消费完成后，忘记预授权，该笔预授权会在30个工作日自动解除冻结。
贷款还款逾期了，对信用记录有影响吗	征信报告会显示您五年之内的征信情况，未按时还款可能会产生罚息并影响个人信用记录。因此如有逾期，建议您尽快联系贷款经办行核实后续处理流程，否则将有可能影响您之后的银行业务办理。
个人贷款逾期后如何还款	如您的贷款已经逾期，请尽快联系您的贷款经办网点，核实还款补交的方式。
申请个人贷款有年龄限制么	借款申请人年龄需在18周岁（含）以上，60周岁（含）以下。
